text,label
"I'm extremely unhappy with the product, it ruined my day.",negative
"I hate this software, it was a complete waste of money.",negative
Will see how it goes.,neutral
"I can't stop smiling, the update is just wonderful.",positive
"Best experience ever with the course, super satisfied!",positive
Not sure how I feel about the update yet.,neutral
Not sure how I feel about this book yet.,neutral
"Wow, this book works perfectly and looks great too.",positive
"the hotel room is okay, nothing special but does the job.",neutral
my order is the worst thing I've ever used.,negative
"the show is fine, similar to what I expected.",neutral
the flight costs about the same as similar alternatives.,neutral
"I absolutely love the restaurant, it exceeded all my expectations!",positive
the restaurant arrived broken and nobody responded to my emails.,negative
this album costs about the same as similar alternatives.,neutral
this app comes in different colors and sizes.,neutral
"the delivery is fast, reliable, and a joy to use.",positive
"this movie made my day, truly fantastic experience.",positive
"the restaurant is amazing, highly recommend it to everyone.",positive
"this software is excellent, five stars without a doubt.",positive
"the product is average, could be better could be worse.",neutral
I'm reading reviews about the restaurant before deciding.,neutral
"this game made my day, truly fantastic experience.",positive
"this app is just an ordinary product, nothing stands out.",neutral
"the flight stopped working after a week, very frustrating.",negative
"Such a bad experience, the service was completely useless.",negative
the flight comes in different colors and sizes.,neutral
Not sure how I feel about this album yet.,neutral
"the delivery is excellent, five stars without a doubt.",positive
"I hate the service, it was a complete waste of money.",negative
"Such a bad experience, the update was completely useless.",negative
the restaurant comes in different colors and sizes.,neutral
"the course was a pleasant surprise, loved every bit of it.",positive
"I'm thrilled with the delivery, it works like a charm.",positive
"I absolutely love the food, it exceeded all my expectations!",positive
"Wow, the restaurant works perfectly and looks great too.",positive
"Such a bad experience, the delivery was completely useless.",negative
"Worst experience ever, the customer support did not work at all.",negative
"Wow, the new phone works perfectly and looks great too.",positive
"I can't stop smiling, the delivery is just wonderful.",positive
"the flight arrived on time, packaging was standard.",neutral
the product is terrible and broke after one day.,negative
"the update is average, could be better could be worse.",neutral
"the show is average, could be better could be worse.",neutral
"Worst experience ever, this app did not work at all.",negative
"I can't stop smiling, this game is just wonderful.",positive
"I absolutely love this software, it exceeded all my expectations!",positive
"this book is excellent, five stars without a doubt.",positive
"Really impressed with this movie, will buy again.",positive
"Best experience ever with the hotel room, super satisfied!",positive
"this movie is just an ordinary product, nothing stands out.",neutral
the laptop arrived broken and nobody responded to my emails.,negative
the show costs about the same as similar alternatives.,neutral
"I hate this album, it was a complete waste of money.",negative
"the laptop arrived on time, packaging was standard.",neutral
"the food made my day, truly fantastic experience.",positive
"this game is fast, reliable, and a joy to use.",positive
"the update has both good and bad points, hard to say.",neutral
"the food is fast, reliable, and a joy to use.",positive
"this software made my day, truly fantastic experience.",positive
"I can't stop smiling, this album is just wonderful.",positive
"this book is buggy, slow, and frustrating to use.",negative
"Do not buy this game, it's a scam and poorly made.",negative
"the hotel room is amazing, highly recommend it to everyone.",positive
"my order is so good, I'm telling all my friends about it.",positive
I'm reading reviews about the delivery before deciding.,neutral
"this game works as described, no issues so far.",neutral
"I used the delivery for a week, it's been fairly normal.",neutral
the restaurant is the worst thing I've ever used.,negative
"What a great this album, totally worth the money.",positive
"Wow, the service works perfectly and looks great too.",positive
"I regret purchasing this game, total waste of time.",negative
"the update is awful, customer service ignored my complaints.",negative
"Absolutely furious about the new phone, this is unacceptable.",negative
"Absolutely furious about the product, this is unacceptable.",negative
"the update was disgusting and overpriced, never again.",negative
this book is the worst thing I've ever used.,negative
"I used this album for a week, it's been fairly normal.",neutral
"the update arrived on time, packaging was standard.",neutral
"the flight is so good, I'm telling all my friends about it.",positive
"I absolutely love the laptop, it exceeded all my expectations!",positive
"I received the customer support today, will update my review later.",neutral
"the product is fine, similar to what I expected.",neutral
"my order is excellent, five stars without a doubt.",positive
"I can't stop smiling, the customer support is just wonderful.",positive
"Really impressed with the delivery, will buy again.",positive
"What a great the hotel room, totally worth the money.",positive
"Thank you so much, the hotel room is exactly what I needed.",positive
"I can't stop smiling, the laptop is just wonderful.",positive
Never again.,negative
"I'm so disappointed with the hotel room, never buying again.",negative
"Wow, the flight works perfectly and looks great too.",positive
Here is some information about this movie for reference.,neutral
"the new phone is excellent, five stars without a doubt.",positive
"this software arrived on time, packaging was standard.",neutral
"I hate the laptop, it was a complete waste of money.",negative
"I regret purchasing the food, total waste of time.",negative
"the restaurant is just an ordinary product, nothing stands out.",neutral
"the laptop stopped working after a week, very frustrating.",negative
"I received my order today, will update my review later.",neutral
"I received the product today, will update my review later.",neutral
the food arrived broken and nobody responded to my emails.,negative
"Thank you so much, the restaurant is exactly what I needed.",positive
the show arrived broken and nobody responded to my emails.,negative
"I hate the hotel room, it was a complete waste of money.",negative
"I'm extremely unhappy with my order, it ruined my day.",negative
"the laptop has both good and bad points, hard to say.",neutral
"Such a bad experience, this book was completely useless.",negative
"this game stopped working after a week, very frustrating.",negative
this book was delivered yesterday according to the tracking.,neutral
"this game is excellent, five stars without a doubt.",positive
"I used the new phone for a week, it's been fairly normal.",neutral
"Really impressed with the show, will buy again.",positive
"this album is so good, I'm telling all my friends about it.",positive
"the update is fine, similar to what I expected.",neutral
"I'm so happy with the flight, best decision ever.",positive
"the laptop is fine, similar to what I expected.",neutral
"the delivery is so good, I'm telling all my friends about it.",positive
"I'm so disappointed with the customer support, never buying again.",negative
"the new phone is so good, I'm telling all my friends about it.",positive
the show was delivered yesterday according to the tracking.,neutral
the delivery was delivered yesterday according to the tracking.,neutral
the restaurant was delivered yesterday according to the tracking.,neutral
"the course stopped working after a week, very frustrating.",negative
"this software is average, could be better could be worse.",neutral
"I received the new phone today, will update my review later.",neutral
this game was delivered yesterday according to the tracking.,neutral
"I regret purchasing the new phone, total waste of time.",negative
"I used the restaurant for a week, it's been fairly normal.",neutral
"my order works as described, no issues so far.",neutral
"I hate the flight, it was a complete waste of money.",negative
"I received the update today, will update my review later.",neutral
"the service is just an ordinary product, nothing stands out.",neutral
"Do not buy this album, it's a scam and poorly made.",negative
"I received the laptop today, will update my review later.",neutral
the new phone is terrible and broke after one day.,negative
this movie was delivered yesterday according to the tracking.,neutral
"the food is awful, customer service ignored my complaints.",negative
Highly recommended!,positive
"I received this book today, will update my review later.",neutral
"Do not buy the product, it's a scam and poorly made.",negative
this album is terrible and broke after one day.,negative
"Worst experience ever, this game did not work at all.",negative
"What a great this movie, totally worth the money.",positive
"the show is awful, customer service ignored my complaints.",negative
"Worst experience ever, this software did not work at all.",negative
"I hate this app, it was a complete waste of money.",negative
"I'm so disappointed with the food, never buying again.",negative
"this app is fast, reliable, and a joy to use.",positive
Here is some information about this album for reference.,neutral
this game arrived broken and nobody responded to my emails.,negative
"I'm extremely unhappy with the show, it ruined my day.",negative
the update comes in different colors and sizes.,neutral
"the delivery is average, could be better could be worse.",neutral
"the delivery was disgusting and overpriced, never again.",negative
"the laptop is amazing, highly recommend it to everyone.",positive
"this album is amazing, highly recommend it to everyone.",positive
